branch,lat,lon,total_accidents,total_fatalities,total_injuries,worker_cause_accidents,first_accident_year,accident_rate
Newport,51.5842,-2.9977,7,1,7,1,1854,0.3333333333333333
Preston,53.7632,-2.7031,28,9,102,9,1831,0.6363636363636364
Peterborough,52.5695,-0.2405,8,3,48,3,1853,0.36363636363636365
New England,52.5695,-0.2405,8,3,48,3,1853,0.36363636363636365
Oxford,51.752,-1.2577,6,8,30,3,1853,0.2727272727272727
Bath,51.3781,-2.3597,2,0,0,0,1842,0.06060606060606061
Battersea,51.4785,-0.145,110,23,919,56,1835,2.75
Kings Cross,51.5308,-0.1238,121,22,1027,61,1835,3.025
Guildford,51.2362,-0.5704,5,0,12,3,1853,0.22727272727272727
Watford,51.6565,-0.3956,12,0,48,3,1837,0.3157894736842105
Doncaster,53.5228,-1.1286,8,1,23,3,1854,0.38095238095238093
Barnsley,53.5526,-1.4797,5,3,7,2,1843,0.15625
Durham,54.7761,-1.5733,4,3,17,1,1860,0.26666666666666666
Grimsby,53.5675,-0.0798,0,0,0,0,,0
Huddersfield,53.6458,-1.785,13,1,67,5,1850,0.52
Oldham,53.5409,-2.1114,23,6,88,13,1847,0.8214285714285714
Stockport,53.4083,-2.1494,23,5,141,12,1847,0.8214285714285714
Stratford,51.5423,-0.0035,96,13,823,47,1837,2.526315789473684
Enfield,51.6521,-0.0807,8,1,16,4,1850,0.32
Plymouth,50.3755,-4.1427,1,0,5,1,1865,0.1
Salisbury,51.0693,-1.7944,2,4,15,2,1856,0.10526315789473684
Rochester,51.3885,0.5067,3,0,7,1,1854,0.14285714285714285
Northwich,53.2592,-2.5182,1,0,0,0,1850,0.04
Southport,53.6452,-3.0056,0,0,0,0,,0
Kettering,52.3995,-0.7295,3,2,18,3,1870,0.6
Dudley,52.512,-2.081,13,2,160,6,1838,0.35135135135135137
St Helens,53.454,-2.737,21,11,67,5,1830,0.4666666666666667
Tredegar,51.777,-3.2427,1,1,1,1,1872,0.3333333333333333
Highbridge,51.216,-2.972,0,0,0,0,,0
Merthyr Tydfil,51.743,-3.3785,3,2,53,2,1872,1.0
Newcastle,54.9783,-1.6178,13,1,65,10,1856,0.6842105263157895
Openshaw,53.475,-2.17,47,10,275,26,1843,1.46875
Miles Platting,53.494,-2.19,42,10,217,23,1843,1.3125
Gorton,53.468,-2.165,47,10,275,26,1843,1.46875
London Road Manchester,53.4772,-2.2309,47,10,275,26,1843,1.46875
Salford,53.4875,-2.2901,37,8,206,21,1843,1.15625
Guide Bridge,53.478,-2.08,26,6,172,15,1847,0.9285714285714286
Crystal Palace,51.4215,-0.0731,53,13,597,29,1837,1.394736842105263
Portsmouth,50.8058,-1.0872,0,0,0,0,,0
Warrington,53.39,-2.597,23,9,67,6,1830,0.5111111111111111
New Wortley,53.7967,-1.567,11,2,41,6,1841,0.3235294117647059
Taunton,51.015,-3.1,0,0,0,0,,0
Grantham,52.9135,-0.6407,2,0,4,0,1869,0.3333333333333333
Liverpool North End,53.4084,-2.9916,30,16,166,12,1831,0.6818181818181818
Sandhills,53.42,-2.98,30,16,166,12,1831,0.6818181818181818
Ipswich,52.0567,1.1482,1,0,3,0,1866,0.1111111111111111
Ardwick,53.473,-2.207,47,10,275,26,1843,1.46875
Ambergate Junction,53.064,-1.474,4,3,4,1,1840,0.11428571428571428
Staveley,53.268,-1.35,15,5,61,9,1848,0.5555555555555556
Pontypridd,51.602,-3.342,0,0,0,0,,0
Victoria London,51.4965,-0.1438,110,23,919,56,1835,2.75
Nottingham,52.9548,-1.1581,9,6,80,5,1842,0.2727272727272727
Battersea No2,51.4785,-0.145,110,23,919,56,1835,2.75
South Eastern,51.5074,-0.1278,123,23,1034,62,1835,3.075
Bedford,52.1386,-0.4667,0,0,0,0,,0
Marlborough,51.42,-1.73,0,0,0,0,,0
Peterborough New England,52.58,-0.242,8,3,48,3,1853,0.36363636363636365
Blaenavon,51.773,-3.085,0,0,0,0,,0
Ruabon,52.99,-3.043,0,0,0,0,,0
